date,day,month,altitude,depth,probability
10.apr,10,4,150,0.603759398,0.310344828
10.apr,10,4,250,5.515294118,0.448275862
10.apr,10,4,350,40.25,0.75862069
10.apr,10,4,450,59.28225806,0.827586207
10.apr,10,4,550,67.26666667,0.931034483
11.apr,11,4,50,0,0.103448276
11.apr,11,4,150,0.476691729,0.275862069
11.apr,11,4,250,3.902352941,0.448275862
11.apr,11,4,350,37.95545455,0.75862069
11.apr,11,4,450,58.34032258,0.827586207
11.apr,11,4,550,68.4,0.896551724
12.apr,12,4,50,0,0.103448276
12.apr,12,4,150,0.32556391,0.275862069
12.apr,12,4,250,3.371764706,0.448275862
12.apr,12,4,350,40.55272727,0.75862069
12.apr,12,4,450,58.61935484,0.793103448
12.apr,12,4,550,67.41666667,0.896551724
13.apr,13,4,50,0,0.103448276
13.apr,13,4,150,0.072932331,0.24137931
13.apr,13,4,250,1.909411765,0.413793103
13.apr,13,4,350,37.45727273,0.724137931
13.apr,13,4,450,58.28709677,0.793103448
13.apr,13,4,550,64.95,0.862068966
14.apr,14,4,50,0,0.103448276
14.apr,14,4,150,0.181203008,0.206896552
14.apr,14,4,250,1.242352941,0.448275862
14.apr,14,4,350,34.59181818,0.689655172
14.apr,14,4,450,55.51935484,0.793103448
14.apr,14,4,550,62.01666667,0.827586207
15.apr,15,4,50,0,0.103448276
15.apr,15,4,150,0.121804511,0.206896552
15.apr,15,4,250,0.784705882,0.448275862
